atsu_mmddyyyy.txt,atsu_\d{2}\d{2}\d{4}\.txt
cmustuyyyymmdd.out,cmustu\d{4}\d{2}\d{2}\.out
cmugryyyymmdd.out,cmugr\d{4}\d{2}\d{2}\.out
cmufacyyyymmdd.out,cmufac\d{4}\d{2}\d{2}\.out
csctmmddyyyy.txt,csct\d{2}\d{2}\d{4}\.txt
hlg-students,hlg\-students
mvc_student_updates_mm_dd.txt,mvc_student_updates_\d{2}_\d{2}\.txt
maccpatloadmm-dd-yy,maccpatload\d{2}\-\d{2}\-\d{2}
sfcc_student_mmddyy.txt,sfcc_student_\d{2}\d{2}\d{2}\.txt
sfcc_staff_mmddyy.txt,sfcc_staff_\d{2}\d{2}\d{2}\.txt
stc_yyyy-mm-dd,stc_\d{4}\-\d{2}\-\d{2}
tpbstupat,tpbstupat
cslpatrons.txt,cslpatrons\.txt
covstu.txt,covstu\.txt
covfac.txt,covfac\.txt
fcstupat.dat,fcstupat\.dat
fcfacpat.dat,fcfacpat\.dat
hssuyymmdd.txt,hssu\d{2}\d{2}\d{2}\.txt
lustupat.txt,lustupat\.txt
lufacpat.txt,lufacpat\.txt
loganstu.txt,loganstu\.txt
mustupat.dyymmdd.txt,mustupat\.d\d{2}\d{2}\d{2}\.txt
mustapat.dyymmdd.txt,mustapat\.d\d{2}\d{2}\d{2}\.txt
mufacpat.dyymmdd.txt,mufacpat\.d\d{2}\d{2}\d{2}\.txt
muadjpat.dyymmdd.txt,muadjpat\.d\d{2}\d{2}\d{2}\.txt
mobapstu.txt,mobapstu\.txt
ewlpat.txt,ewlpat\.txt
avila_upload_mm-dd-yy,avila_upload_\d{2}\-\d{2}\-\d{2}
bcpatrons.txt,bcpatrons\.txt
kcai_patron_load_mmyyyy,kcai_patron_load_\d{2}\d{4}
kckcc_lib_stu.txt,kckcc_lib_stu\.txt
kckcc_lib_emp.txt,kckcc_lib_emp\.txt
kcu-yyyy-mm-dd.txt,kcu\-\d{4}\-\d{2}\-\d{2}\.txt
mccstummyy.txt,mccstu\d{2}\d{2}\.txt
mccfacmmyy.txt,mccfac\d{2}\d{2}\.txt
mbtsstu.dyymmdd.txt,mbtsstu\.d\d{2}\d{2}\d{2}\.txt
mwsuugr.txt,mwsuugr\.txt
mwsugr.txt,mwsugr\.txt
mwsufac.txt,mwsufac\.txt
mwsuexp.txt,mwsuexp\.txt
mwsuadj.txt,mwsuadj\.txt
mwsuinst.txt,mwsuinst\.txt
mwsuwdraw.txt,mwsuwdraw\.txt
nts_patrons.txt,nts_patrons\.txt
ncmcstu.txt,ncmcstu\.txt
nwmsustu.txt,nwmsustu\.txt
nwmsuempl.txt,nwmsuempl\.txt
parkstufac.txt,parkstufac\.txt
rkrst_stu_mm-dd-yyyy.txt,rkrst_stu_\d{2}\-\d{2}\-\d{4}\.txt
rkrst_staff_mm-dd-yyyy.txt,rkrst_staff_\d{2}\-\d{2}\-\d{4}\.txt
rkrst_faculty_mm-dd-yyyy.txt,rkrst_faculty_\d{2}\-\d{2}\-\d{4}\.txt
wjc_mobius_students.txt,wjc_mobius_students\.txt
cottyyyymmdd.txt,cott\d{4}\d{2}\d{2}\.txt
ccstupat.txt,ccstupat\.txt
drurypat_students.txt,drurypat_students\.txt
drurypat_employees.txt,drurypat_employees\.txt
drurypat_alumni.txt,drurypat_alumni\.txt
eupatroncamsexport_month_day_year,eupatroncamsexport_month_day_year
msscall,msscall
mobiusuploadyyyydd.txt,mobiusupload\d{4}\d{2}\.txt
otcpat.txt,otcpat\.txt
sbupatrons,sbupatrons
patronload.marc,patronload\.marc
